rank,tier,title,category,gap,placement,effort,current_support,proposed_increment,priority_rationale,observed_precedent,dependencies,source_numbers,source_titles,source_urls,source_notes
59,Conditional investment,Progressively enhanced native submission,Server integration,Integration,Adapter,L,Current bindings are designed around client node state; a guaranteed no-JavaScript form action flow is not packaged.,Provide an optional native-name/action/encoding contract with client enhancement and equivalent server validation behavior.,Valuable for public forms that must work before hydration or with unavailable client code.,React Router Form enhances native submission; Modular Forms documented a native fallback.,"31,58",50; 52,React Router: Form; Formisch: migration from Modular Forms,https://reactrouter.com/api/components/Form; https://formisch.dev/qwik/guides/migrate-from-modular-forms/,"Adjacent router integration, not a dedicated form state library.; Official successor documentation; explicitly records changed and removed semantics."
60,Conditional investment,Upload progress and task lifecycle,Transport,Integration,Helper,L,Async submit handlers can upload files; progress and per-file tasks are application state.,"Provide a transport-neutral upload task interface for progress, cancellation, failures and mapping accepted files to server attachment IDs.",Improves attachment-heavy forms without coupling the library to fetch or one storage vendor.,Inertia exposes upload progress; Formwerk has basic upload handling.,"19,30",28; 80,Inertia v2: forms; Formwerk: file fields,https://inertiajs.com/docs/v2/the-basics/forms; https://formwerk.dev/guides/fields/file-fields/,"Versioned v2 reference; newer documentation exists, so this is not a latest-version claim.; Official documentation; unversioned unless indicated."
61,Conditional investment,Configurable submission concurrency,Submission,API,Helper,M,Concurrent calls to submit are rejected.,"Add explicit prevent or replace-latest policies, optionally a serialized queue with immutable payload snapshots, while retaining prevent as default.",Supports deliberate repeated saves without hidden parallel writes.,"Superforms documents prevent, allow and abort multiple-submit policies; a queue would be our extension.","19,25",33,Superforms v2: submit behavior,https://superforms.rocks/concepts/submit-behavior,Official documentation; unversioned unless indicated.
62,Conditional investment,Delayed submitting and timeout presentation,Submission UX,Composition,Helper,S,submitting is immediately observable; consumers implement delayed spinners and long-wait notices.,"Expose configurable delayed and long-running signals scoped to an attempt, clearing them on settlement or cancellation.",Avoids flashing spinners while still explaining slow requests.,Superforms exposes loading timers; a timeout indicator does not itself cancel a request.,"19,25",32,Superforms v2: loading timers,https://superforms.rocks/concepts/timers,Official documentation; unversioned unless indicated.
63,Conditional investment,Browser-history form restoration,Persistence,Integration,Adapter,M,Values can be saved manually; no route-entry-scoped restoration contract ships.,"Restore a checkpoint keyed to a specific history entry, including selected step and supported interaction state, with record/schema compatibility checks.",Makes Back/Forward navigation preserve the right draft instead of one global latest copy.,Superforms snapshots integrate with navigation; Inertia can remember keyed form state.,"13,16",30; 28,Superforms v2: snapshots; Inertia v2: forms,https://superforms.rocks/concepts/snapshots; https://inertiajs.com/docs/v2/the-basics/forms,"Official documentation; unversioned unless indicated.; Versioned v2 reference; newer documentation exists, so this is not a latest-version claim."
64,Conditional investment,Draft schema versioning and migration,Persistence,Integration,Helper,M,No persistence layer or schema evolution contract exists.,"Version stored drafts and run explicit migration/discard logic before restoration, keeping an untouched backup until acceptance.",Prevents deployments from breaking or misreading users' saved drafts.,React Form Autosave documents schema versions and migrations; maturity remains unverified.,15,45,React Form Autosave,https://github.com/686f6c61/react-form-autosave,"Small community helper. README evidence only; maintenance, reliability and adoption were not independently established."
65,Conditional investment,Cross-tab draft synchronization with conflicts,Persistence,Integration,Helper,L,Each form instance is independent; cross-tab coordination is application code.,"Exchange draft revisions across tabs, suppress echo loops and surface concurrent edits instead of automatically overwriting changed fields.",Useful for long-running administrative sessions opened in several tabs.,React Form Autosave documents cross-tab synchronization; conflict handling here is our proposed extension.,"4,15,64",45,React Form Autosave,https://github.com/686f6c61/react-form-autosave,"Small community helper. README evidence only; maintenance, reliability and adoption were not independently established."
66,Conditional investment,Offline submission outbox,Persistence,Integration,Helper,L,An offline request failure remains the application's responsibility.,"Persist explicit submissions, retry in a controlled order after reconnection, and expose queued/conflicted items with server idempotency integration.","Useful for field-work applications, but adds substantial storage and backend coordination costs.",Form.io's licensed offline module provides a persistent request queue.,"15,19,25,31",67,Form.io: offline mode,https://help.form.io/developers/offline-mode,"Licensed module; persistent request queue. Inspiration only, not a licensing or purchasing recommendation."
67,Conditional investment,Changes since the last submission,State,Composition,Helper,S,submitted and dirty exist; neither compares current values with the payload of the last attempt.,"Track a separately named last-attempt snapshot and expose changed paths since that attempt, without confusing it with the last successful-save baseline.",Supports retry messaging and deciding whether a displayed rejection still describes current input.,Final Form exposes dirtySinceLastSubmit and per-field variants.,"17,25",18,Final Form: FormState,https://final-form.org/docs/final-form/types/FormState,Official documentation; unversioned unless indicated.
68,Conditional investment,Active and visited field state,Interaction,API,Adapter,M,touched is available; focus() performs an action but there is no shared active-node or visited-field signal.,"Track the active bound control/node and first-visit state, including multiple bindings and custom control focus boundaries.",Enables contextual help and analytics hooks without treating focus as an edit.,Final Form exposes active and visited field information.,None,18,Final Form: FormState,https://final-form.org/docs/final-form/types/FormState,Official documentation; unversioned unless indicated.
69,Conditional investment,Virtualized-form reveal and focus adapter,Accessibility,Composition,Adapter,M,Nodes survive unmounting and arrays preserve identity; offscreen controls cannot be focused until rendered.,"Provide a reveal contract that scrolls/materializes the target row, waits for its binding and then focuses it with cancellation.",Completes error navigation for large tables without introducing DOM-dependent node lifetime.,React Hook Form publishes virtualized-list integration examples; reveal coordination is our proposed packaged addition.,18,15,React Hook Form: advanced usage,https://raw.githubusercontent.com/react-hook-form/documentation/master/src/content/advanced-usage.mdx,"Official recipes, including virtualization; not a built-in virtualization engine."
70,Conditional investment,Logical validator combinators,Validation,Composition,Helper,M,Multiple validators compose conjunctively; arbitrary alternatives require a custom rule.,"Provide typed any/all/not composition with clear nested errors, async short-circuiting and cancellation semantics.",Expresses alternate acceptable inputs without repeatedly rebuilding validator orchestration.,"Vuelidate provides or, and and not combinators.",36,25,Vuelidate: validators,https://vuelidate-next.netlify.app/validators,Official documentation; unversioned unless indicated.
71,Conditional investment,Cross-field cardinality validators,Validation,Composition,Helper,S,requiredIf and custom group validators exist; no reusable at-least/exactly/at-most selection rule ships.,"Validate how many chosen sibling paths are filled or selected, with explicit empty-value rules and targeted feedback.",Covers contact-method requirements and mutually exclusive choices with one reusable family.,jQuery Validation includes require_from_group.,29,64,jQuery Validation: require_from_group implementation,https://raw.githubusercontent.com/jquery-validation/jquery-validation/master/src/additional/require_from_group.js,Official validator source; minimum populated-field count in a configured group.
72,Conditional investment,Numeric step and multiple-of validation,Validation,API,Core,S,min/max/integer exist; no step or multiple-of validator and matching node constraint is exported.,Add decimal-aware step validation with an explicit base and compatible native step synchronization.,"Covers prices, booking intervals and quantity increments without ad hoc floating-point checks.",jQuery Validation implements step validation.,None,65,jQuery Validation: core validator implementation,https://raw.githubusercontent.com/jquery-validation/jquery-validation/master/src/core.js,"Official source; step validation, deferred submission, and reuse of matching remote-validation results."
73,Conditional investment,File acceptance validator family,Validation,Integration,Helper,M,Custom validators can inspect File values; reusable file policies are not exported.,"Validate individual and total size, count and accepted types with structured parameters and clear server-validation parity.",Provides consistent attachment errors while keeping browser accept attributes as selection hints.,Superforms demonstrates file-size schema validation; Formwerk supports file constraints.,30,34; 80,Superforms v2: file uploads; Formwerk: file fields,https://superforms.rocks/concepts/files; https://formwerk.dev/guides/fields/file-fields/,Official documentation; unversioned unless indicated.; Official documentation; unversioned unless indicated.
74,Conditional investment,Maintained locale message packs,Localization,Integration,Adapter,M,"Reactive localization, message catalogs and overrides already exist; consumers supply translations.","Publish optional, individually importable translations for built-in error kinds with parameter-aware messages and fallback rules.",Reduces setup for multilingual applications without changing the existing catalog API.,FormKit ships locale message support.,None,42,FormKit: internationalization,https://formkit.com/essentials/internationalization,Official documentation; unversioned unless indicated.
75,Conditional investment,Serializable conditional-rule interpreter,Schema integration,Integration,Adapter,L,Reactive required/hidden/disabled conditions already work in TypeScript.,"Interpret a bounded declarative rule language over node paths, with registered operations and diagnostics rather than arbitrary script execution.",Allows server-provided form policies without shipping executable application code in schemas.,JSON Forms defines declarative SHOW/HIDE/ENABLE/DISABLE rules.,"29,47",53,JSON Forms: UI schema rules,https://jsonforms.io/docs/uischema/rules/,Official documentation; unversioned unless indicated.
76,Conditional investment,Schema and expression diagnostics,Developer tools,Integration,Tool,M,TypeScript checks authored APIs; runtime schemas and expressions have no dedicated diagnostic pass.,"Report unknown references, unsupported constructs, impossible conditions and rule cycles before rendering, with paths back to the definition.",Makes metadata-driven forms debuggable instead of silently incomplete.,SurveyJS documents expression validation and its newer linter integration.,"52,75",69; 68,SurveyJS: conditional logic; SurveyJS: RESTful choices,https://surveyjs.io/form-library/documentation/design-survey/conditional-logic; https://surveyjs.io/form-library/documentation/api-reference/choicesrestful,Official documentation; unversioned unless indicated.; Official documentation; unversioned unless indicated.
77,Conditional investment,Validation execution trace and profiler,Developer tools,Integration,Tool,M,Tests can count validator runs; no consumer-facing causal timeline or duration view ships.,"Record opt-in rule start/stop/cancel events and triggering node revisions, with redacted data and a bounded development-only buffer.","Explains repeated requests, cancellation storms and expensive cross-field dependencies.","React Hook Form DevTools establishes inspector precedent; detailed causal profiling is an inferred extension, not a claimed RHF feature.",12,13,React Hook Form DevTools,https://github.com/react-hook-form/devtools,Official companion tool; README/API evidence.
78,Conditional investment,Reusable field presentation wrappers,Rendering,Integration,UI package,M,CVA pass-through supports binding composition; it does not generate label/help/error shells.,"Allow composable renderer wrappers for field chrome, descriptions and feedback with one accessibility contract.",Makes generated forms fit an application's design system without duplicating each control implementation.,Formly supports custom field wrappers.,"44,53",60,Formly: custom wrappers,https://formly.dev/docs/guide/custom-formly-wrapper/,Official documentation; unversioned unless indicated.
79,Conditional investment,Named schema presentation presets,Rendering,Integration,UI package,S,Factories share node defaults; generated UI configuration has no reusable preset layer.,"Define overridable bundles of renderer, wrapper, layout and metadata choices, with a documented merge order.",Avoids repeated configuration for recurring concepts such as postal addresses and money fields.,Formly's core configuration includes presets.,"53,78",61,Formly: core API,https://formly.dev/docs/api/core/,Official documentation; unversioned unless indicated.
80,Conditional investment,Schema-driven option labels,Rendering,Integration,Adapter,S,oneOf validates membership; value-to-label option rendering is supplied by applications.,Map schema enums or const/title alternatives into typed option values and display labels with translation hooks.,Keeps machine values stable while giving generated selects understandable labels.,JSON Forms documents enum and oneOf label behavior.,"42,53",56,JSON Forms: labels,https://jsonforms.io/docs/labels/,Official documentation; unversioned unless indicated.
81,Specialized or exploratory,URL query parameter binding,Transport,Integration,Adapter,M,Applications can manually patch nodes from router state; no canonical URL synchronization helper ships.,"Encode filter nodes into query parameters with defaults, repeated values and replace-versus-push policy; restore on navigation without loops.",Makes search/filter forms shareable and compatible with browser history.,React Router Form supports GET submissions that serialize to the URL.,29,50,React Router: Form,https://reactrouter.com/api/components/Form,"Adjacent router integration, not a dedicated form state library."
82,Specialized or exploratory,Locale-aware number and currency control adapter,Controls,Integration,Adapter,M,Native numeric parsing is supported; locale-specific separators and formatting are custom control concerns.,"Provide an optional Intl-based adapter with explicit minor-unit scaling, caret behavior and incomplete-input handling.","Useful for international business forms, although existing UI libraries may already supply an adequate component.",Formwerk provides formatted and localized number fields.,5,79,Formwerk: number fields,https://formwerk.dev/guides/fields/number-fields/,Official documentation; unversioned unless indicated.
83,Specialized or exploratory,Input masks with separate raw values,Controls,Integration,Adapter,L,Consumers can bind mask-capable CVAs; no maintained mask adapter/policy ships.,"Integrate an external mask engine while preserving raw model values, partial input, caret position and parse feedback.",Helps phone and identifier entry; best kept optional because masking behavior is complex.,FormKit Pro provides a mask input.,5,41,FormKit: mask input,https://formkit.com/inputs/mask,"FormKit Pro component; commercial reference, not a dependency recommendation."
84,Specialized or exploratory,Segmented date and time control adapter,Controls,Integration,Adapter,L,Native date/time parsing and CVA interoperability exist; no segmented locale-aware interaction layer ships.,Offer an optional adapter contract for segmented controls with explicit calendar/date/time representation and incomplete-segment errors.,Useful for design systems needing richer input than native controls; representation policy must precede implementation.,Formwerk lists dedicated date and time field composables.,"5,44",78,Formwerk: composables,https://formwerk.dev/guides/composables/,"Vue headless control catalog; high-level capability evidence, not a compatibility test."
85,Specialized or exploratory,Checkbox-group binding to one collection field,Controls,API,Adapter,M,"A native checkbox maps to a boolean; multiple-select maps to a collection, but checkbox collection toggling is not packaged.","Bind several checkboxes to one typed collection with per-option identity, disabled-state and touched/dirty semantics.",Covers permission and preference lists without creating one boolean node per option.,Formwerk provides checkbox groups selecting multiple items.,None,78,Formwerk: composables,https://formwerk.dev/guides/composables/,"Vue headless control catalog; high-level capability evidence, not a compatibility test."
86,Specialized or exploratory,Headless searchable combobox integration,Controls,Integration,Adapter,L,Existing CVAs and custom controls can bind; the library ships no combobox interaction helper.,"Provide an optional contract for query text, selected value, active option, keyboard selection and async choices as separate states.","Useful for reusable design-system controls, but lower priority because mature component libraries already solve much of it.",Formwerk provides combobox composables.,"5,44,50",78,Formwerk: composables,https://formwerk.dev/guides/composables/,"Vue headless control catalog; high-level capability evidence, not a compatibility test."
87,Specialized or exploratory,One-time-password input adapter,Controls,Integration,Adapter,M,An OTP component can use a CVA; no dedicated multi-cell binding contract ships.,"Coordinate cell focus, paste distribution, autofill and one committed code value, with one logical touch/error boundary.",Removes repeated edge cases in authentication controls while remaining outside the core.,Formwerk includes OTP field composables.,44,78,Formwerk: composables,https://formwerk.dev/guides/composables/,"Vue headless control catalog; high-level capability evidence, not a compatibility test."
88,Specialized or exploratory,File dropzone and preview lifecycle helper,Controls,Integration,UI package,M,Generic CVA integration can wrap a dropzone; no file preview ownership helper exists.,"Unify drop and picker selection, validate before preview, and manage object-URL creation/disposal as files are removed or rebound.",Avoids memory leaks and inconsistent attachment interactions.,Formwerk supports dropzones and automatic image/video previews.,"30,73",80,Formwerk: file fields,https://formwerk.dev/guides/fields/file-fields/,Official documentation; unversioned unless indicated.
89,Specialized or exploratory,Multi-thumb range control adapter,Controls,Integration,Adapter,M,Native single-value range controls work; tuple-valued thumb interaction is supplied by custom components.,"Define a tuple-valued adapter with ordered bounds, per-thumb focus and one field-level interaction/error contract.","Useful for price and availability ranges, with modest relevance to the state-library core.",Formwerk describes sliders selecting one or more range values.,44,78,Formwerk: composables,https://formwerk.dev/guides/composables/,"Vue headless control catalog; high-level capability evidence, not a compatibility test."
90,Specialized or exploratory,Accessible repeatable-row editor helpers,Rendering,Composition,UI package,M,Array add/remove/move/swap and a reorderable-array recipe already exist.,"Package row action bindings, focus after add/remove and keyboard/live-region announcements around existing array operations.",Reduces repetitive accessible UI work without pretending array reordering is missing.,FormKit's repeater provides row editing UI; our proposed emphasis is headless accessibility helpers.,44,44,FormKit: repeater,https://formkit.com/inputs/repeater,UI component reference; Form Nodes already provides array mutations.
91,Specialized or exploratory,Branching wizard navigation graph,Workflow,Composition,Helper,L,A linear multi-step recipe exists; callers compute every branch and back-navigation decision.,"Extend a wizard with conditional edges, visited-route history and explicit handling when earlier answers invalidate the current route.","Useful for onboarding and eligibility interviews, but excessive for most ordinary forms.",SurveyJS documents conditional skip logic.,"13,75",70,SurveyJS: skip logic,https://surveyjs.io/survey-creator/documentation/end-user-guide/skip-logic-in-forms,Official documentation; unversioned unless indicated.
92,Specialized or exploratory,Completion and progress model,Workflow,Composition,Helper,M,validity and interaction signals exist; an empty optional field can be valid without being answered.,"Define answered/completed states and weighted progress over participating fields or steps, with configurable empty-value semantics.",Supports long-form progress indicators without conflating completion with validation success.,FormKit exposes a completion state; aggregate weighted progress is our proposed extension.,47,43,FormKit: styling and completion state,https://formkit.com/essentials/styling,Official documentation; unversioned unless indicated.
93,Specialized or exploratory,Matrix and spreadsheet-style question adapter,Specialized UI,Integration,UI package,L,Nested forms/arrays can represent cells; there is no matrix interaction or column-schema helper.,"Build an optional row/column renderer with cell validation navigation, column metadata and accessible keyboard traversal.","Relevant to assessments and bulk administrative entry, but too specialized for default exports.",SurveyJS provides matrix table questions.,"53,69",71,SurveyJS: matrix table,https://surveyjs.io/form-library/documentation/api-reference/matrix-table-with-dropdown-list,Official documentation; unversioned unless indicated.
94,Specialized or exploratory,Ranking question adapter,Specialized UI,Integration,UI package,M,Arrays can reorder values; ranking options and selection constraints are application UI.,"Represent a ranked subset of named choices with keyboard reordering, labels and completion rules.",Useful for surveys and preference collection; does not justify changing array semantics.,SurveyJS provides ranking questions with selectable choice metadata.,"44,90",72,SurveyJS: ranking question,https://surveyjs.io/form-library/examples/add-ranking-question-to-form/documentation,Official documentation; unversioned unless indicated.
95,Specialized or exploratory,Signature capture adapter,Specialized UI,Integration,Adapter,M,Rich atomic values and custom controls can hold a signature; no capture adapter is provided.,Integrate a maintained signature canvas with explicit empty/reset/export behavior and resource cleanup.,Useful in a narrow class of workflows; capturing an image alone makes no claim about signature assurance.,SurveyJS includes a signature-pad question with image export formats.,44,73,SurveyJS: signature pad,https://surveyjs.io/form-library/examples/signature-pad-widget-javascript/documentation,Official documentation; unversioned unless indicated.
96,Specialized or exploratory,Read-only review rendering,Rendering,Integration,UI package,M,readonly state and direct value reads exist; applications author their own human-readable summaries.,"Render labeled values, option titles and grouped review sections without mounting disabled input widgets, with links back to editable fields.",Provides a reusable confirmation screen; it should consume values without changing node interaction or validation state.,SurveyJS demonstrates a consolidated read-only review mode.,"47,53,80",74,SurveyJS: review mode,https://surveyjs.io/form-library/examples/review-mode-for-quiz-results/documentation,Official example; review layout and read-only presentation.
97,Specialized or exploratory,Printable and PDF form export,Specialized output,Integration,UI package,L,Consumers can serialize values but no document renderer ships.,"Offer a separate bridge from labels, layout and values to a print/PDF engine, documenting differences from interactive browser layout.","Useful for records and sharing, but a substantial adjacent product with its own rendering costs.",SurveyJS PDF Generator exports editable or read-only documents and is a separate commercial product.,"47,54,96",75,SurveyJS: PDF Generator overview,https://surveyjs.io/pdf-generator/documentation/overview,"Separate commercial product; export capability only, no legal-signature claims relied on."
98,Specialized or exploratory,Quiz scoring separate from validation,Specialized workflow,Composition,Helper,M,"Custom validators can identify wrong answers, but they would incorrectly make acceptable quiz responses invalid.",Provide optional answer-key/scoring metadata and result aggregation independent of form validity and submission gates.,Useful for assessments only; avoid encoding correctness as a blocking validation error.,SurveyJS demonstrates weighted quiz scoring using answer metadata and application calculations.,47,76,SurveyJS: scored quiz,https://surveyjs.io/form-library/examples/create-a-scored-quiz/documentation,Official example; weighted scoring includes application code.
99,Specialized or exploratory,Visual form designer,Developer tools,Integration,Tool,L,Forms are authored in TypeScript and templates; no drag-and-drop schema editor exists.,"Build a separate designer with a constrained schema editor, preview and import/export, only after a renderer/schema contract stabilizes.","Could serve non-developer teams, but would create a new product and should be demand-led.",SurveyJS Survey Creator offers visual form authoring.,"52,53,54,76",77,SurveyJS: Survey Creator v2 overview,https://surveyjs.io/survey-creator/documentation/creator-v2-whats-new,"Historical v2 product reference; visual builder, distinct from the headless state library."
100,Specialized or exploratory,Experimental WebMCP form integration,Automation,Integration,Adapter,L,No public adapter exposes a form as an agent-callable browser tool.,"Explore an explicitly enabled integration using declared schemas, bounded field access and the existing submit pipeline; expose validation failures as structured results.","Potentially useful later, but experimental browser/platform dependence makes it the lowest-priority item.",Angular 22.1.6 contains experimental form WebMCP registration and tests.,"1,24,47",6,Angular 22.1.6: WebMCP registration,https://github.com/angular/angular/blob/356adf749188d996a641181c56621a6285126f3c/packages/forms/signals/src/webmcp/registration.ts,Experimental API despite its presence in a stable Angular release; accompanying tests in test/web/webmcp.spec.ts.
